ID,time,y
0,1,11.634487309383713
0,11,58.57255714029064
0,21,207.75144811239784
0,31,478.331942320181
0,41,624.050089215746
0,51,642.7319313541683
0,61,713.220666260082
0,71,698.9674420765767
0,81,701.3550608711589
0,91,711.5448319286305
0,101,715.0848750717139
0,111,743.0338085832444
1,2,32.082713667544446
1,12,53.28968044554668
1,22,152.2075307655067
1,32,389.6182942263298
1,42,635.4407252003745
1,52,750.0904066121072
1,62,734.7069191783652
1,72,735.8140468461988
1,82,756.2727149792798
1,92,697.0229470761797
1,102,731.3338475405926
1,112,755.4301688418725
2,3,40.640032390523196
2,13,51.45505031988275
2,23,211.454973894286
2,33,458.57014323226184
2,43,658.2048331180964
2,53,667.1164686836037
2,63,734.7190317791716
2,73,676.3144699656652
2,83,644.0992659565911
2,93,704.7098650293858
2,103,695.492819079363
2,113,749.2591484788643
3,4,35.81062954705519
3,14,43.142238609208405
3,24,316.8399022304236
3,34,530.4144481401713
3,44,670.1699763242622
3,54,689.2160140414256
3,64,706.2384577961805
3,74,728.2346584745804
3,84,722.9854180565352
3,94,714.3580232658674
3,104,723.365059846528
3,114,718.2223066613097
4,5,-2.237436062904994
4,15,44.57719689247847
4,25,201.0987964297713
4,35,466.08910195077095
4,45,597.3235445998099
4,55,726.7790323262147
4,65,645.4517898662147
4,75,640.2309221396008
4,85,696.9897753362096
4,95,716.7624906793159
4,105,689.317525450884
4,115,699.2304830386233
5,6,57.35721591248563
5,16,37.20719232008585
5,26,60.2544552251364
5,36,212.5913887171231
5,46,427.2169336026784
5,56,495.5221548644123
5,66,615.3955440088768
5,76,653.6637940036787
5,86,648.4600210307387
5,96,683.8875303801025
5,106,681.1012815917347
5,116,733.845999220674
6,7,34.276912778832305
6,17,53.10615103499611
6,27,235.977969416846
6,37,494.54055880324404
6,47,688.6550450786627
6,57,681.2481789333584
6,67,704.3953483195353
6,77,730.6721233161709
6,87,686.8314191935436
6,97,699.794732426437
6,107,653.3798535345901
6,117,676.1469049632755
7,8,-1.5853081569643468
7,18,72.46844865798087
7,28,233.97259233358008
7,38,446.5639095397468
7,48,649.9902327529164
7,58,722.890150335058
7,68,771.4529709627898
7,78,770.989636463426
7,88,753.6872006657851
7,98,715.4599905769796
7,108,772.9653276640552
7,118,757.3134257180726
8,9,53.21643474709316
8,19,63.20794729095989
8,29,266.8877413063593
8,39,437.7888368619383
8,49,666.2168564662727
8,59,683.1784399026358
8,69,680.6693621738269
8,79,666.3349917482701
8,89,696.6243281063231
8,99,744.0855028325494
8,109,725.9320493076015
8,119,722.1204160288072
9,10,-58.27997717838264
9,20,77.79756340317883
9,30,218.97846372553943
9,40,439.714859531773
9,50,606.5395252844456
9,60,679.5989664506207
9,70,744.3770577212165
9,80,663.8362725005818
9,90,683.2742639077375
9,100,737.0955252665641
9,110,682.8862508026267
